polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,num_atoms_sidechainfeaturizer_sum,num_atoms_sidechainfeaturizer_mean,num_atoms_sidechainfeaturizer_max,num_atoms_sidechainfeaturizer_min,numsidechainfeaturizer,num_atoms_backbonefeaturizer,numbackbonefeaturizer,num_hbond_donors_fullpolymerfeaturizer,num_hbond_acceptors_fullpolymerfeaturizer,num_rotatable_bonds_fullpolymerfeaturizer,num_rings_fullpolymerfeaturizer,num_non_aromatic_rings_fullpolymerfeaturizer,num_aromatic_rings_fullpolymerfeaturizer,topological_surface_area_fullpolymerfeaturizer,fraction_bicyclic_rings_fullpolymerfeaturizer,num_aliphatic_heterocycles_fullpolymerfeaturizer,slogp_vsa1_fullpolymerfeaturizer,balaban_j_index_fullpolymerfeaturizer,molecular_weight_fullpolymerfeaturizer,sp3_carbon_count_fullpolymerfeaturizer,sp2_carbon_count_fullpolymerfeaturizer,max_estate_index_fullpolymerfeaturizer,smr_vsa5_fullpolymerfeaturizer,fp_density_morgan1_fullpolymerfeaturizer,total_halogens_fullpolymerfeaturizer,fluorine_count_fullpolymerfeaturizer,chlorine_count_fullpolymerfeaturizer,bromine_count_fullpolymerfeaturizer,single_bonds_fullpolymerfeaturizer,double_bonds_fullpolymerfeaturizer,triple_bonds_fullpolymerfeaturizer,bridging_rings_count_fullpolymerfeaturizer,max_ring_size_fullpolymerfeaturizer,heteroatom_density_fullpolymerfeaturizer,heteroatom_count_fullpolymerfeaturizer,heteroatom_distance_mean_fullpolymerfeaturizer,heteroatom_distance_min_fullpolymerfeaturizer,heteroatom_distance_max_fullpolymerfeaturizer,heteroatom_distance_sum_fullpolymerfeaturizer
poly(acrylonitrile),*C(C#N)C*,380.5,Mattioni,,378.0-383.0,2,yellow,3.5355339059327378,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23.79,0.0,0.0,0.0,3.0448416122433453,53.026549096,2.0,0.0,8.187268518518518,13.344558822616634,2.75,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.5,3.0,3.9686269665968865,3.968626966596886,3.9686269665968865,11.90588089979066
Poly(acrylamide),*C(C(=O)N)C*,438.0,Uchicago,,438.0-438.0,1,black,,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,43.09,0.0,0.0,5.733667477162185,3.3434170589539596,71.03711378,2.0,3.0,10.255046296296296,13.344558822616634,2.6,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.5714285714285714,4.0,3.4389010593167337,2.5980762113533156,4.5,20.6334063559004
Poly(2-cyanoisopropyl acrylate),*C(C(=O)OC(CC#N)C)C*,339.0,Liu,,339.0-339.0,1,black,,8.0,8.0,8.0,8.0,1.0,4.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,50.09,0.0,0.0,0.0,3.7699925973589794,139.063328528,5.0,3.0,11.230176681783824,32.79308403298157,2.1,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.4166666666666667,5.0,4.773896065973117,2.598076211353316,8.351646544245032,47.73896065973118
Poly(cyanomethyl acrylate),*C(C(=O)OCC#N)C*,296.0,Nguyen,C=CC(=O)OCC#N,296.0-296.0,1,black,,6.0,6.0,6.0,6.0,1.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,50.09,0.0,0.0,0.0,3.538805310408353,111.0320284,3.0,3.0,10.86212962962963,13.344558822616634,2.25,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.5,5.0,4.394761416888704,2.5980762113533156,7.937253933193771,43.94761416888704
Poly(2-cyanoethyl acrylate),*C(C(=O)OCCC#N)C*,277.0,Liu,,277.0-277.0,1,black,,7.0,7.0,7.0,7.0,1.0,4.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,50.09,0.0,0.0,0.0,3.457349931602571,125.047678464,4.0,3.0,11.019760015117157,19.765380445542643,2.111111111111111,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.45454545454545453,5.0,4.920422547985472,2.5980762113533156,9.124143795447328,49.20422547985473
Poly(4-cyanobutyl acrylate),*C(C(=O)OCCCCC#N)C*,233.0,Liu,,233.0-233.0,1,black,,9.0,9.0,9.0,9.0,1.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,50.09,0.0,0.0,0.0,3.32866566921123,153.078978592,6.0,3.0,11.222032706601158,32.60702369139466,1.8181818181818181,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.38461538461538464,5.0,5.9246336384854486,2.5980762113533165,11.715374513859981,59.24633638485449
Poly(3-methoxypropyl acrylate),*C(C(=O)OCCCOC)C*,198.0,Liu,,198.0-198.0,1,black,,8.0,8.0,8.0,8.0,1.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,35.53,0.0,0.0,0.0,3.310475293544496,144.078644244,7.0,3.0,11.1766832010582,19.765380445542643,1.8,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.4166666666666667,5.0,4.870142965892189,2.5980762113533165,9.12414379544733,48.70142965892189
Poly(2-methoxyethyl acrylate),*C(C(=O)OCCOC)C*,223.0,Liu,,223.0-223.0,1,black,,7.0,7.0,7.0,7.0,1.0,4.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,35.53,0.0,0.0,0.0,3.361326226111766,130.06299418,6.0,3.0,11.073614890400606,13.344558822616634,1.8888888888888888,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.45454545454545453,5.0,4.3804588869753225,2.598076211353316,7.794228634059947,43.804588869753225
poly(chlorotrifluoroethylene),*C(C(F)(F)*)(Cl)F,366.5,Mattioni,,360.0-373.0,2,yellow,9.192388155425116,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020391543176799,115.96406234,6.0,0.0,12.084876543209877,12.056301962413816,1.5,4.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.75,6.0,2.8073262114491118,1.5,4.5,42.10989317173668
poly(hexafluoropropylene),*C(C(F)(F)F)(C(F)(F)*)F,425.0,Mattioni,,425.0-425.0,1,black,,4.0,4.0,4.0,4.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7484085779251695,149.99041932,9.0,0.0,12.402777777777779,18.773418657812957,0.8888888888888888,6.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7272727272727273,8.0,2.9537098108417323,1.0307321340687832,4.743416490252568,82.7038747035685
"poly(1,2-butadiene)",*C(C=C)C*,268.5,Mattioni,,268.0-269.0,2,yellow,0.7071067811865476,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.964900494759057,54.046950192,2.0,2.0,3.733935185185185,13.344558822616634,2.75,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.3333333333333333,2.0,3.968626966596886,3.968626966596886,3.968626966596886,3.968626966596886
Polypentadiene ,*C(C=CC)C*,213.0,Schrodinger,,213.0-213.0,1,black,,3.0,3.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159487600385118,68.062600256,3.0,2.0,2.3958333333333335,20.268296022307258,2.4,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.2857142857142857,2.0,3.968626966596885,3.968626966596885,3.968626966596885,3.968626966596885
Poly(isopropyl a-chloroacrylate) ,*C(Cl)(C(=O)OC(C)C)C*,363.0,Schrodinger,,363.0-363.0,1,black,,6.0,6.0,6.0,6.0,1.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,4.023194027542314,148.029107208,6.0,3.0,11.254583333333333,32.2522658550259,2.111111111111111,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.45454545454545453,5.0,3.34277786852129,2.1213203435596424,5.019097822426848,33.4277786852129
Poly(sec-butyl a-chloroacrylate) ,*C(Cl)(C(=O)OC(C)CC)C*,347.0,Schrodinger,,347.0-347.0,1,black,,7.0,7.0,7.0,7.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,4.034132633373444,162.044757272,7.0,3.0,11.413472222222222,38.67308747795191,2.1,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.4166666666666667,5.0,3.34277786852129,2.1213203435596424,5.019097822426847,33.4277786852129
Poly(cyclohexyl a-chloroacrylate) ,*C(Cl)(C(=O)OC1CCCCC1)C*,387.0,Schrodinger,,387.0-387.0,1,black,,9.0,9.0,9.0,9.0,1.0,5.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,26.3,0.0,0.0,0.0,2.387819690232039,188.060407336,9.0,3.0,11.712383786848072,50.50889957027469,1.6666666666666667,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,6.0,0.35714285714285715,5.0,3.3427778685212908,2.121320343559643,5.019097822426848,33.42777868521291
Poly(n-propyl a-chloroacrylate) ,*C(Cl)(C(=O)OCCC)C*,344.0,Schrodinger,,344.0-344.0,1,black,,6.0,6.0,6.0,6.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,3.8169303256560934,148.029107208,6.0,3.0,11.203055555555554,25.645383890512985,2.111111111111111,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.45454545454545453,5.0,3.34277786852129,2.121320343559643,5.019097822426847,33.4277786852129
Perfluoropolymer 1,*C(F)(C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C1(=NC(C(F)(F)F)=NC(*)=N1),260.0,Schrodinger,,260.0-260.0,1,black,,12.0,4.0,4.0,4.0,3.0,32.0,1.0,0.0,5.0,10.0,1.0,0.0,1.0,57.13,0.0,1.0,6.3273200747645415,3.8232074792506405,678.9623253,36.0,6.0,14.695907124155907,66.64874714150149,0.4523809523809524,23.0,23.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,0.6818181818181818,30.0,7.579949726731165,0.8692078697374138,19.850982021487976,3297.278131128057
Poly(tetrafluoroethylene),*C(F)(F)*,390.0,Nguyen,FC(=C(F)F)F,390.0-390.0,1,black,,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0237157840738176,49.99680644,3.0,0.0,11.243055555555555,6.928360321623806,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.8,4.0,2.4142135623730954,2.1213203435596424,3.0000000000000004,14.485281374238571
Polyhexafluoropropylene,*C(F)(F)C(F)(C(F)(F)F)*,425.0,Schrodinger,,425.0-425.0,1,black,,4.0,4.0,4.0,4.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748408577925169,149.99041932,9.0,0.0,12.402777777777779,18.773418657812957,0.8888888888888888,6.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7272727272727273,8.0,2.9537098108417323,1.0307321340687836,4.743416490252568,82.7038747035685
Poly(perfluorostyrene),*C(F)(F)C(F)(C1=C(F)C(F)=C(F)(C(F)=C1(F)))*,467.0,Schrodinger,,467.0-467.0,1,black,,11.0,11.0,11.0,11.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.722974655985802,247.98722576,10.0,6.0,13.83074074074074,12.597120140369483,0.6875,8.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.5555555555555556,10.0,4.378942160434468,1.0109017087561134,7.648529270389178,197.05239721955107
"Poly(a,b,b-trifluoro styrene) ",*C(F)(F)C(F)(C1=CC=C(C=C1))*,475.0,Schrodinger,,475.0-475.0,1,black,,6.0,6.0,6.0,6.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0842959757292774,158.03433482,5.0,6.0,13.75314814814815,12.597120140369483,1.0909090909090908,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.38461538461538464,5.0,2.8933373636900996,1.4999999999999984,4.4999999999999964,28.933373636900996
Polychlorotrifluoroethylene ,*C(F)(F)C(F)(Cl)*,373.0,Schrodinger,,373.0-373.0,1,black,,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020391543176799,115.96406234,6.0,0.0,12.084876543209877,12.056301962413816,1.5,4.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.75,6.0,2.807326211449113,1.5,4.5,42.109893171736694
Perfluoropolymer 2 ,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(=NC(C(F)(F)C(F)(F)OC(F)(F)F)=NC(*)=N1),255.0,Schrodinger,,255.0-255.0,1,black,,11.0,11.0,11.0,11.0,1.0,20.0,1.0,0.0,4.0,7.0,1.0,0.0,1.0,47.900000000000006,0.0,1.0,6.3273200747645415,3.6624707306598365,462.98018492,23.0,6.0,13.971424083522297,42.58650978594936,0.6206896551724138,15.0,15.0,0.0,0.0,25.0,0.0,0.0,0.0,6.0,0.6774193548387096,21.0,6.552017097774429,1.0980762113533171,15.874507866387546,1375.92359053263
Perfluoropolymer 3,*C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C1(F)(F))*,390.0,Schrodinger,,390.0-390.0,1,black,,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.750430100924186,261.9840322,16.0,0.0,13.498750000000001,36.03346746339889,0.75,10.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,0.6666666666666666,12.0,3.744058415751248,0.9032921643840992,6.566410323900215,247.10785543958238
"Poly(a,a,a',a'-tetrafluoro-p-xylylene) ",*C(F)(F)C1=CC=C(C=C1)C(F)(F)*,363.0,Schrodinger,,363.0-363.0,1,black,,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0157582550772797,176.024913008,6.0,6.0,12.822037509448224,12.850889489718382,0.8333333333333334,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.42857142857142855,6.0,5.299720421386268,2.121320343559642,9.0,79.49580632079402
poly(vinyl methyl ether),*C(OC)C*,246.0,Uchicago,,242.0-251.0,3,gold,4.58257569495584,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,9.23,0.0,0.0,0.0,2.7541847860376616,58.041864812,4.0,0.0,5.072916666666667,13.530619164203543,2.75,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.5,3.0,3.188901059316734,2.5980762113533165,3.968626966596886,9.566703177950203
"Poly(2,5-difluorostyrene)",*C(c1cc(F)ccc1F)C*,374.0,Nguyen,C=Cc1cc(F)ccc1F,374.0-374.0,1,black,,8.0,8.0,8.0,8.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.043701829546161,140.043756632,4.0,6.0,13.108148148148148,13.344558822616634,1.6,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.3333333333333333,4.0,5.111863752308802,2.9999999999999996,7.794228634059947,30.671182513852813
"Poly(1,4-butadiene) (cis)",*C/C=C\C*,171.0,Schrodinger,,171.0-171.0,1,black,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7343859935615478,54.046950192,2.0,2.0,2.3541666666666665,13.847474399381248,1.5,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.3333333333333333,2.0,6.0,6.0,6.0,6.0
"Poly[2,2-propane bis{4-(2,6-dibromophenyl)}carbonate]",*C1=C(Br)C=C(C=C1(Br))C(C)(C)C1=CC(Br)=C(C(Br)=C1)OC(=O)O*,523.0,Schrodinger,,523.0-523.0,1,black,,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,35.53,0.0,0.0,10.803230022261658,2.516088579130554,565.7363425800002,7.0,16.0,11.467709742304748,19.26246486877803,1.0,4.0,0.0,0.0,4.0,13.0,1.0,0.0,0.0,6.0,0.36,9.0,7.736253672330204,1.4999999999999947,15.223337347638326,278.50513220388734
"Poly(oxycarbonyloxy-2-chloro-1,4-phenyleneisopropylidene-2-methyl- 1,4-phenylene)",*C1=C(C)C=C(C=C1)C(C)(C)C1=CC=C(C(Cl)=C1)OC(=O)O*,411.0,Schrodinger,,411.0-411.0,1,black,,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,35.53,0.0,0.0,10.803230022261658,2.376263645632342,302.07097202,5.0,16.0,11.271451834948355,26.186202068468653,1.2380952380952381,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,6.0,0.2608695652173913,6.0,6.772032088171715,1.4999999999999993,15.223337347638331,101.58048132257572
Polyquinoline 10,*C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(*)C=C3)C=CC2=N1,618.0,Schrodinger,,618.0-618.0,1,black,,24.0,6.0,6.0,6.0,4.0,29.0,1.0,0.0,3.0,7.0,9.0,0.0,9.0,35.010000000000005,0.2222222222222222,2.0,17.000073593874735,1.2395028228916465,650.2358135800001,0.0,51.0,6.792792766096339,0.0,0.37254901960784315,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,6.0,0.09433962264150944,5.0,10.01610361780864,2.598076211353317,18.18653347947322,100.16103617808639
Polyquinoline 8,*C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(C=C3)C3=CC=C(*)C=C3)C=CC2=N1,624.0,Schrodinger,,624.0-624.0,1,black,,24.0,6.0,6.0,6.0,4.0,35.0,1.0,0.0,3.0,8.0,10.0,0.0,10.0,35.010000000000005,0.2,2.0,17.000073593874735,1.1360595469032015,726.2671137080001,0.0,57.0,6.839134511353777,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,6.0,0.0847457627118644,5.0,11.733564724427449,2.5980762113533165,22.197972880423123,117.33564724427448
Polyquinoline 6,*C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=CC2=N1,578.0,Schrodinger,,578.0-578.0,1,black,,24.0,6.0,6.0,6.0,4.0,36.0,1.0,0.0,4.0,9.0,10.0,0.0,10.0,44.24,0.2,2.0,21.736936547674784,1.1142419429713473,742.2620283280002,0.0,58.0,6.830731214364757,0.0,0.3275862068965517,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,6.0,0.1,6.0,11.388778736606163,2.598076211353315,19.150718002205565,170.83168104909245
"Poly[2,2-propane bis{4-(2,6-dichlorophenyl)} carbonate] ",*C1=C(Cl)C=C(C=C1(Cl))C(C)(C)C1=CC(Cl)=C(C(Cl)=C1)OC(=O)O*,503.0,Schrodinger,,503.0-503.0,1,black,,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,35.53,0.0,0.0,10.803230022261658,2.516088579130554,389.9384048999999,7.0,16.0,11.373188137366476,19.26246486877803,1.0,4.0,0.0,4.0,0.0,13.0,1.0,0.0,0.0,6.0,0.36,9.0,7.736253672330204,1.4999999999999947,15.223337347638326,278.50513220388734
