polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,dp_2,nconf20_2,rotatable_bonds,num_rings,num_aromatic_rings,num_non_aromatic_rings,hbond_acceptors,hbond_donors,n_sc,len_sc,min_length_sc,max_length_sc,mean_length_sc,n_bb,len_bb,min_length_bb,max_length_bb,mean_length_bb,fingerprint,cluster_label,Source
,*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(/N=N/c5ccc(C)cc5)c(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)c(C)c2)cc1C,530.15,GREA,,530.15-530.15,1,black,,Cc1ccc(/N=N/c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc(Cc6ccc(NC(=O)c7ccc8c(c7)C(=O)N(c7cc(N9C(=O)c%10ccc(C(=O)Nc%11ccc(Cc%12ccc(NC(=O)C)c(C)c%12)cc%11C)cc%10C9=O)ccc7/N=N/c7ccc(C)cc7)C8=O)c(C)c6)cc5C)cc4C3=O)cc2N2C(=O)c3ccc(C)cc3C2=O)cc1,14.0,19,16,12,4,16,4,1,[10],10,10,10.0,1,[51],51,51,51.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd23c0>,0,cluster_0
,O=C(N1C2=CC=CC(N3C(C(OC4=CC=C(C(C)(C)C5=CC=C([*])C=C5)C=C4)=C(Cl)C3=O)=O)=C2)C(Cl)=C([*])C1=O,436.15,Qiu,,436.15-436.15,1,black,,CC1=C(Cl)C(=O)N(c2cccc(N3C(=O)C(Cl)=C(Oc4ccc(C(C)(C)c5ccc(C6=C(Cl)C(=O)N(c7cccc(N8C(=O)C(Cl)=C(Oc9ccc(C(C)(C)c%10ccc(C)cc%10)cc9)C8=O)c7)C6=O)cc5)cc4)C3=O)c2)C1=O,473.0,13,10,6,4,10,0,0,,0,0,0.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd0900>,0,cluster_0
,*c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Sc4ccc(N5C(=O)c6ccc(C(*)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc1)C2=O,530.15,GREA,,530.15-530.15,1,black,,CC(c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Sc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Sc9ccc(Sc%10ccc(N%11C(=O)c%12ccc(C)cc%12C%11=O)cc%10)cc9)cc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc1)C2=O)(C(F)(F)F)C(F)(F)F,427.0,15,14,10,4,12,0,1,[9],9,9,9.0,1,[45],45,45,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce6890>,0,cluster_0
,*Oc1ccc(NC(=O)c2ccc(P(=O)(c3ccccc3)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,527.15,GREA,,527.15-527.15,1,black,,Cc1ccc(NC(=O)c2ccc(P(=O)(c3ccccc3)c3ccc(C(=O)Nc4ccc(Oc5ccc(NC(=O)c6ccc(P(=O)(c7ccccc7)c7ccc(C(=O)Nc8ccc(OC)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,346.0,17,10,10,0,8,4,1,[7],7,7,7.0,1,[35],35,35,35.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d36510>,1,cluster_1
,*C(=O)c1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(*)cc4C3=O)cc(C(F)(F)F)c1)C2=O,568.65,GREA,,568.65-568.65,1,black,,Cc1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5cc(N7C(=O)c8ccc(C(=O)C)cc8C7=O)cc(C(F)(F)F)c5)C6=O)cc4C3=O)cc(C(F)(F)F)c1)C2=O,190.0,7,10,6,4,10,0,1,[5],5,5,5.0,1,[32],32,32,32.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ddb4a0>,0,cluster_0
,*Oc1ccc(Oc2c(F)c(F)c(-c3c(F)c(F)c(*)c(F)c3F)c(F)c2F)cc1S(=O)(=O)O,393.15,GREA,,393.15-393.15,1,black,,Cc1c(F)c(F)c(-c2c(F)c(F)c(Oc3ccc(Oc4c(F)c(F)c(-c5c(F)c(F)c(Oc6ccc(OC)c(S(=O)(=O)O)c6)c(F)c5F)c(F)c4F)c(S(=O)(=O)O)c3)c(F)c2F)c(F)c1F,71.0,11,6,6,0,8,2,1,[5],5,5,5.0,1,[30],30,30,30.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d38970>,1,cluster_1
,*c1ccc(Oc2ccc(-n3nc(-c4ccccc4)cc3-c3cccc(-c4cc(-c5ccccc5)nn4*)c3)cc2)cc1,505.15,GREA,,505.15-505.15,1,black,,Cn1nc(-c2ccccc2)cc1-c1cccc(-c2cc(-c3ccccc3)nn2-c2ccc(Oc3ccc(-n4nc(-c5ccccc5)cc4-c4cccc(-c5cc(-c6ccccc6)nn5-c5ccc(Oc6ccc(C)cc6)cc5)c4)cc3)cc2)c1,270.0,15,14,14,0,10,0,2,"[7, 7]",7,7,7.0,1,[31],31,31,31.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d57900>,1,cluster_1
,*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,472.15,GREA,,472.15-472.15,1,black,,CN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(Oc5cccc(Oc6cccc(N7C(=O)c8ccc(Oc9ccc%10c(c9)C(=O)N(c9cccc(Oc%11cccc(Oc%12cccc(C)c%12)c%11)c9)C%10=O)cc8C7=O)c6)c5)c3)C4=O)cc2C1=O,435.0,15,14,10,4,14,0,0,,0,0,0.0,1,[45],45,45,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ced120>,0,cluster_0
,O=C(N1C2=C(C)C=C(C)C(N3C(C4=CC=C(C([*])=O)C=C4C3=O)=O)=C2C)C5=CC([*])=CC=C5C1=O,671.15,Qiu,,671.15-671.15,1,black,,Cc1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5c(C)cc(C)c(N7C(=O)c8ccc(C(=O)C)cc8C7=O)c5C)C6=O)cc4C3=O)c1C)C2=O,183.0,7,10,6,4,10,0,0,,0,0,0.0,1,[35],35,35,35.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dce970>,0,cluster_0
Poly[thio bis(4-phenyl)carbonate] ,*C1=CC=C(C=C1)SC1=CC=C(C=C1)OC(=O)O*,388.0,Schrodinger,,388.0-388.0,1,black,,COC(=O)Oc1ccc(Sc2ccc(OC(=O)Oc3ccc(Sc4ccc(C)cc4)cc3)cc2)cc1,26.0,7,4,4,0,8,0,0,,0,0,0.0,1,[19],19,19,19.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dbd970>,1,cluster_1
,*Oc1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(NC(=O)c4ccc(Oc5nc(*)nc(Sc6ccccc6)n5)cc4)cc3)cc2)cc1,583.15,GREA,,583.15-583.15,1,black,,Cc1nc(Oc2ccc(C(=O)Nc3ccc(S(=O)(=O)c4ccc(NC(=O)c5ccc(Oc6nc(Oc7ccc(C(=O)Nc8ccc(S(=O)(=O)c9ccc(NC(=O)c%10ccc(OC)cc%10)cc9)cc8)cc7)nc(Sc7ccccc7)n6)cc5)cc4)cc3)cc2)nc(Sc2ccccc2)n1,38.0,23,12,12,0,20,4,1,[8],8,8,8.0,1,[43],43,43,43.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d28430>,1,cluster_1
,*Nc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C(*)=O)c2)cc1,594.15,GREA,,594.15-594.15,1,black,,CC(=O)c1cc(NC(=O)c2ccccc2)cc(C(=O)Nc2ccc(NC(=O)c3cc(NC(=O)c4ccccc4)cc(C(=O)Nc4ccc(NC)cc4)c3)cc2)c1,147.0,12,6,6,0,7,6,1,[10],10,10,10.0,1,[20],20,20,20.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d072e0>,1,cluster_1
,*Oc1ccc(C(C)(C)c2ccc(OC(=O)Nc3cccc(P(=O)(c4ccccc4)c4cccc(NC(*)=O)c4)c3)cc2)cc1,335.15,GREA,,335.15-335.15,1,black,,CC(=O)Nc1cccc(P(=O)(c2ccccc2)c2cccc(NC(=O)Oc3ccc(C(C)(C)c4ccc(OC(=O)Nc5cccc(P(=O)(c6ccccc6)c6cccc(NC(=O)Oc7ccc(C(C)(C)c8ccc(OC)cc8)cc7)c6)c5)cc4)cc3)c2)c1,44.0,18,10,10,0,10,4,1,[7],7,7,7.0,1,[39],39,39,39.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d2a3c0>,1,cluster_1
,*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(*)cc4C3=O)c1C)C2=O,683.15,GREA,,683.15-683.15,1,black,,Cc1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5c(C)cc(C)c(N7C(=O)c8ccc(C(=O)C)cc8C7=O)c5C)C6=O)cc4C3=O)c1C)C2=O,183.0,7,10,6,4,10,0,0,,0,0,0.0,1,[35],35,35,35.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ddaf20>,0,cluster_0
,*c1cccc(OCCCCCCCCCCOc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)c1,398.15,GREA,,398.15-398.15,1,black,,CN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3cccc(OCCCCCCCCCCOc5cccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(c8cccc(OCCCCCCCCCCOc%10cccc(C)c%10)c8)C9=O)cc7C6=O)c5)c3)C4=O)cc2C1=O,59.0,31,12,8,4,12,0,0,,0,0,0.0,1,[48],48,48,48.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cec2e0>,0,cluster_0
,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)C(C)C)cc3)cc2)cc1,473.15,GREA,,473.15-473.15,1,black,,Cc1ccc(C(c2ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(OC)cc8)cc7)cc6)C(C)C)cc5)cc4)cc3)cc2)C(C)C)cc1,412.0,17,8,8,0,8,0,1,[4],4,4,4.0,1,[32],32,32,32.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d3ba50>,1,cluster_1
,*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc1C)C2=O,580.65,GREA,,580.65-580.65,1,black,,Cc1cc(Cc2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5c(C)cc(Cc7cc(C)c(N8C(=O)c9ccc(C(C)(C(F)(F)F)C(F)(F)F)cc9C8=O)c(C)c7)cc5C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc(C)c1N1C(=O)c2ccc(C)cc2C1=O,458.0,11,12,8,4,8,0,1,[9],9,9,9.0,1,[42],42,42,42.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d0a0b0>,0,cluster_0
,O=C(N1C2=CC=C(OC3=CC=C(OC4=CC=C(N5C(C6=C(O[*])C=CC=C6C5=O)=O)C=C4)C=C3)C=C2)C7=C([*])C=CC=C7C1=O,536.15,Qiu,,536.15-536.15,1,black,,Cc1cccc2c1C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6cccc(Oc7cccc8c7C(=O)N(c7ccc(Oc9ccc(Oc%10ccc(N%11C(=O)c%12cccc(OC)c%12C%11=O)cc%10)cc9)cc7)C8=O)c6C5=O)cc4)cc3)cc1)C2=O,400.0,15,14,10,4,14,0,0,,0,0,0.0,1,[45],45,45,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dd00b0>,0,cluster_0
,*Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,522.15,GREA,,522.15-522.15,1,black,,CC(=O)c1cccc(C(=O)Oc2ccc(S(=O)(=O)c3ccc(OC(=O)c4cccc(C(=O)Oc5ccc(S(=O)(=O)c6ccc(OC)cc6)cc5)c4)cc3)cc2)c1,149.0,12,6,6,0,12,0,0,,0,0,0.0,1,[29],29,29,29.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d39f90>,1,cluster_1
,*c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(NC(=O)c4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,601.15,GREA,,601.15-601.15,1,black,,CC(c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(C(=O)Nc4ccc(NC(=O)c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8cccc(C(=O)Nc%10ccc(C(=O)Nc%11ccc(NC(=O)c%12cccc(N%13C(=O)c%14ccc(C)cc%14C%13=O)c%12)cc%11)cc%10)c8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O)(C(F)(F)F)C(F)(F)F,35.0,19,16,12,4,14,6,1,[9],9,9,9.0,1,[58],58,58,58.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce6c10>,0,cluster_0
,O=C(C1=CC=C(C2=CC(C(N3[*])=O)=C(C3=O)C=C2)C=C14)N(C5=CC=C(OCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)F)F)F)F)F)F)C([*])=C5)C4=O,535.15,Qiu,,535.15-535.15,1,black,,Cc1cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4cc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)ccc4OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C5=O)cc3C2=O)ccc1OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,420.0,19,10,6,4,10,0,1,[22],22,22,22.0,1,[30],30,30,30.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575dcac80>,0,cluster_0
,*c1ccc(Oc2cccc(-c3cc(-c4ccccc4)cc(-c4cccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5)c4)n3)c2)cc1,537.15,GREA,,537.15-537.15,1,black,,Cn1c(=O)c2cc3c(=O)n(-c4ccc(Oc5cccc(-c6cc(-c7ccccc7)cc(-c7cccc(Oc8ccc(-n9c(=O)c%10cc%11c(=O)n(-c%12ccc(Oc%13cccc(-c%14cc(-c%15ccccc%15)cc(-c%15cccc(Oc%16ccc(C)cc%16)c%15)n%14)c%13)cc%12)c(=O)c%11cc%10c9=O)cc8)c7)n6)c5)cc4)c(=O)c3cc2c1=O,253.0,17,18,18,0,18,0,1,[7],7,7,7.0,1,[50],50,50,50.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575ce0120>,1,cluster_1
,*Oc1ccc(S(=O)(=O)c2ccc3cc(S(=O)(=O)c4ccc(Oc5ccc(-c6ccc(*)cc6)cc5)cc4)ccc3c2)cc1,528.15,GREA,,528.15-528.15,1,black,,Cc1ccc(-c2ccc(Oc3ccc(S(=O)(=O)c4ccc5cc(S(=O)(=O)c6ccc(Oc7ccc(-c8ccc(Oc9ccc(S(=O)(=O)c%10ccc%11cc(S(=O)(=O)c%12ccc(OC)cc%12)ccc%11c%10)cc9)cc8)cc7)cc6)ccc5c4)cc3)cc2)cc1,365.0,17,12,12,0,12,0,0,,0,0,0.0,1,[44],44,44,44.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d3c900>,1,cluster_1
,*OP(=O)(Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1)Oc1c(Cl)cc(Cl)cc1Cl,367.15,GREA,,367.15-367.15,1,black,,Cc1ccc(C(C)(C)c2ccc(OP(=O)(Oc3ccc(C(C)(C)c4ccc(OP(=O)(OC)Oc5c(Cl)cc(Cl)cc5Cl)cc4)cc3)Oc3c(Cl)cc(Cl)cc3Cl)cc2)cc1,439.0,15,6,6,0,8,0,1,[11],11,11,11.0,1,[21],21,21,21.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d9a970>,1,cluster_1
,*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c1)C2=O,533.65,GREA,,533.65-533.65,1,black,,Cc1ccc2c(c1)C(=O)N(c1ccc(N(C)C(=O)c3cccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(c6ccc(N(C)C(=O)c8cccc(N9C(=O)c%10ccc(C(=O)C)cc%10C9=O)c8)cc6)C7=O)cc5C4=O)c3)cc1)C2=O,438.0,11,12,8,4,12,0,0,,0,0,0.0,1,[42],42,42,42.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d5eeb0>,0,cluster_0
,*OP(=O)(Oc1ccccc1)Oc1c(Br)cc(C(c2cc(Br)c(*)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,413.15,GREA,,413.15-413.15,1,black,,Cc1c(Br)cc(C(c2cc(Br)c(OP(=O)(Oc3ccccc3)Oc3c(Br)cc(C(c4cc(Br)c(OP(=O)(OC)Oc5ccccc5)c(Br)c4)(C(F)(F)F)C(F)(F)F)cc3Br)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,494.0,15,6,6,0,8,0,2,"[8, 9]",8,9,8.5,1,[23],23,23,23.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d9b200>,1,cluster_1
,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc(Oc6cccc7c6C(=O)N(*)C7=O)c5C4=O)cc3)cc2)cc1,531.15,GREA,,531.15-531.15,1,black,,CN1C(=O)c2cccc(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc(Oc9cccc%10c9C(=O)N(c9ccc(Oc%11ccc(Oc%12ccc(C)cc%12)cc%11)cc9)C%10=O)c8C7=O)cc6)cc5)cc3)C4=O)c2C1=O,421.0,15,14,10,4,14,0,0,,0,0,0.0,1,[45],45,45,45.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cde430>,0,cluster_0
